,id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,firstName,lastName,fullName,teamColor,league_name,league_season,shortName,isFromInsideBox
6,2634354413,Miss,9742,165709,Federico Macheda,96.3157894727,39.96523809599999,43,,False,False,,,40.217380953,2.2281052522,0.01793878711760044,,OtherBodyParts,RegularPlay,FirstHalf,False,"{'x': 1.1102230246251565e-16, 'y': 0.3583671756714373, 'zoomRatio': 0.6079730401876178}",False,Federico,Macheda,Federico Macheda,#2c386a,Super Lig,2023/2024,,
7,2634355159,Post,9742,678812,Efkan Bekiroglu,80.908252428,28.034761904000003,44,,False,False,,,30.256,0.7705263120000001,0.04415877163410187,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.9904761904761905, 'y': 0.2038429396825397, 'zoomRatio': 1}",False,Efkan,Bekiroglu,Efkan Bekiroglu,#2c386a,Super Lig,2023/2024,,
8,2634356619,Miss,9742,1381623,Renaldo Cephas,98.3421052628,46.452993627000005,45,0.0,False,False,,,49.3956687876,4.5846896616,0.061362672597169876,,LeftFoot,RegularPlay,FirstHalf,False,"{'x': 0, 'y': 0.2977908738393103, 'zoomRatio': 0.24552359836712598}",False,Renaldo,Cephas,Renaldo Cephas,#2c386a,Super Lig,2023/2024,,
9,2634371291,AttemptSaved,9742,1381623,Renaldo Cephas,96.9912280694,45.8224203783,54,,False,True,104.71551724140001,36.21125,32.70374999999999,0.0385263156,0.04494645074009895,0.1544,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.3429232804232825, 'y': 0.010192146984126984, 'zoomRatio': 1}",False,Renaldo,Cephas,Renaldo Cephas,#2c386a,Super Lig,2023/2024,,
10,2634371961,AttemptSaved,9742,837879,Olimpiu Morutan,89.8,23.648917202,55,,False,True,104.051724138,32.9325,33.77125,0.20547368320000003,0.05516717582941055,0.0254,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.0605158730158726, 'y': 0.05435811724867726, 'zoomRatio': 1}",False,Olimpiu,Morutan,Olimpiu Morutan,#2c386a,Super Lig,2023/2024,,
11,2634372435,Miss,9742,678812,Efkan Bekiroglu,74.150970876,38.704523811,56,,False,False,,,25.53375,3.7417931072000004,0.01763971894979477,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.4419658180658496, 'zoomRatio': 0.446478665288646}",False,Efkan,Bekiroglu,Efkan Bekiroglu,#2c386a,Super Lig,2023/2024,,
12,2634373755,AttemptSaved,9742,165709,Federico Macheda,90.9,32.17,58,,True,True,93.5,32.474999999999994,33.92375,1.2199999940000001,0.018011970445513725,,Header,RegularPlay,SecondHalf,False,"{'x': 1.0201719576719581, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,Federico,Macheda,Federico Macheda,#2c386a,Super Lig,2023/2024,,
13,2634374163,Miss,9752,200628,Anastasios Bakasetas,80.79563106879999,33.8475,59,,False,False,,,28.707142856,0.3595789456,0.038056664168834686,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.06793664287871819, 'zoomRatio': 0.7141700403316238}",False,Anastasios,Bakasetas,Anastasios Bakasetas,#6e2330,Super Lig,2023/2024,,
14,2634374931,Miss,9742,801780,Anastasios Chatzigiovanis,74.150970876,41.057857143,60,,False,False,,,13.6432227568,2.1382105158,0.01833532378077507,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.10503678898948753, 'zoomRatio': 0.1856875454715051}",False,Anastasios,Chatzigiovanis,Anastasios Chatzigiovanis,#2c386a,Super Lig,2023/2024,,
15,2634382697,AttemptSaved,9742,387439,Pedrinho,73.3626213616,47.0835668757,73,,True,True,87.426470588,41.5990625,32.9325,1.2199999940000001,0.01577642932534218,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.282407407407408, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,,Pedrinho,Pedrinho,#2c386a,Super Lig,2023/2024,,
